,ENDO,GBM,BRCA,HNSCC,LUAD,OVARIAN,CCRCC
96,BPY2B,AC020909.1,BGLAP,AC005326.1,AQP10,CYP11B1,ARSI
97,BPY2C,AC020915.1,BHLHE22,AC006153.1,ARC,CYP11B2,ARSK
98,BRE-AS1,AC020915.5,BLZF1,AC006329.1,ARF1,DCAF13,ASB10
99,BRINP2,AC020922.1,BNIPL,AC006329.2,ARF6,DCSTAMP,ASB15
100,BRINP3,AC021097.2,BOLA1,AC006378.1,ARFGAP1,DCUN1D1,ASB4
101,BROX,AC021097.3,BOP1,AC006378.2,ARFGEF1,DENND3,ASIC3
102,BTG2,AC024592.3,BPNT1,AC006387.1,ARFRP1,DEPTOR,ASL
103,BTNL10,AC025165.3,BROX,AC006970.1,ARHGAP30,DERL1,ASNS
104,C1orf100,AC027644.4,BTG2,AC006970.2,ARHGAP36,DGAT1,ASZ1
105,C1orf105,AC058822.1,BTNL10,AC006970.3,ARHGAP39,DGKG,ATG10
106,C1orf112,AC067968.1,C1ORF220,AC006971.1,ARHGAP4,DHX36,ATG12
107,C1orf115,AC068533.4,C1orf100,AC007032.1,ARHGAP5,DIDO1,ATG9B
108,C1orf116,AC073111.3,C1orf101,AC007159.1,ARHGEF11,DNAJB11,ATOX1
109,C1orf131,AC073111.5,C1orf105,AC007384.1,ARHGEF2,DNAJC19,ATP10B
110,C1orf140,AC092073.1,C1orf106,AC007547.1,ARHGEF6,DPH3P1,ATP5J2
111,C1orf143,AC092329.3,C1orf110,AC007547.2,ARID4A,DPYS,ATP6AP1L
112,C1orf189,AC092647.5,C1orf111,AC007547.3,ARID4B,DSCC1,ATP6V0A4
113,C1orf198,AC093227.2,C1orf112,AC007566.1,ARL4A,DVL3,ATP6V0E1
114,C1orf21,AC093668.1,C1orf115,AC007566.2,ARL8A,ECE2,ATP6V0E2
115,C1orf220,AC093668.2,C1orf116,AC007620.1,ARMC1,ECT2,ATP6V1F
116,C1orf226,AC093668.3,C1orf131,AC007620.2,ARMCX1,EDN3,ATXN7L1
117,C1orf229,AC096582.3,C1orf132,AC007620.3,ARMCX2,EEF1D,AUTS2
118,C1orf35,AC104532.1,C1orf138,AC007683.1,ARMCX3,EFR3A,AVL9
119,C1orf43,AC105052.1,C1orf143,AC007683.2,ARMCX4,EHHADH,AZGP1
120,C1orf53,AC105052.3,C1orf145,AC007687.1,ARMCX6,EIF2A,B4GALT7
121,C1orf54,AC115220.1,C1orf147,AC007690.1,ARNT,EIF2B5,BAIAP2L1
122,C1orf56,AC119396.1,C1orf148,AC007751.1,ARPC5,EIF3E,BAZ1B
123,C1orf61,AC187653.1,C1orf186,AC007823.1,ARV1,EIF3H,BBS9
124,C1orf68,AC243967.1,C1orf189,AC007849.1,ASAP1,EIF4A2,BCAP29
125,C1orf74,AC245748.1,C1orf192,AC007849.2,ASCL5,EIF4G1,BCL7B
126,C20orf204,ACER1,C1orf198,AC007919.1,ASH1L,EIF5A2,BDP1
127,C2CD4D,ACHE,C1orf204,AC007919.2,ASPH,EMC2,BET1
128,C4BPA,ACOT8,C1orf21,AC007920.1,ASPM,ENO2,BHLHA15
129,C4BPB,ACP4,C1orf220,AC007920.2,ASTN1,ENPP2,BHMT
130,C8orf33,ACP5,C1orf226,AC007953.1,ATAD2,ENY2,BHMT2
131,C8orf37,ACP7,C1orf227,AC007953.2,ATF3,EPHB3,BLACE
132,C8orf37-AS1,ACSBG2,C1orf229,AC007992.1,ATF6,ETV5,BLVRA
133,C8orf76,ACSS1,C1orf27,AC007992.2,ATG14,EXOSC4,BMPER
134,C8orf87,ACSS2,C1orf35,AC008040.1,ATG4A,EXT1,BMT2
135,C8orf89,ACTB,C1orf43,AC008040.2,ATL1,FAM131A,BNIP1
136,CA14,ACTL10,C1orf51,AC008040.3,ATP11C,FAM135B,BOD1
137,CABCOCO1,ACTL6B,C1orf53,AC008040.4,ATP1A2,FAM194A,BPGM
138,CABLES2,ACTL9,C1orf54,AC008134.1,ATP1A4,FAM217B,BRAF
139,CACNA1E,ACTN4,C1orf56,AC008180.2,ATP1B1,FAM49B,BRAT1
140,CACNA1S,ACTR3B,C1orf61,AC008766.1,ATP1B4,FAM83A,BRD8
141,CACYBP,ACTR3C,C1orf65,AC008817.1,ATP2B3,FAM84B,BRI3
142,CADM3,ACTR5,C1orf68,AC008825.1,ATP2B4,FBXO32,BTF3
143,CADM3-AS1,AD000671.1,C1orf74,AC008825.2,ATP5E,FBXO43,BTNL3
144,CAMK1G,AD000671.2,C1orf85,AC008869.1,ATP5S,FER1L6,BTNL8
145,CAMSAP2,ADA,C1orf95,AC008875.1,ATP6AP1,FETUB,BTNL9
146,CAPN2,ADAM22,C20orf197,AC008875.2,ATP6V0D2,FGF12,BUD31
147,CAPN8,ADAM33,C20orf85,AC008875.3,ATP6V0E1,FNDC3B,BZW2
148,CAPN9,ADAMTS10,C2CD4D,AC008945.1,ATP6V1C1,FOXH1,C1GALT1
149,CASC11,ADAMTSL5,C4BPA,AC008945.2,ATP6V1G3,FXR1,C1QTNF2
150,CASC19,ADAP1,C4BPB,AC008957.1,ATP6V1H,FZD6,C5orf15
151,CASC21,ADAT3,C8orf17,AC008957.2,ATP8B2,GAPDH,C5orf24
152,CASC8,ADCK2,C8orf22,AC008957.3,AVL9,GDF6,C5orf30
153,CASC9,ADCY1,C8orf31,AC008964.1,AVPR1B,GFM1,C5orf46
154,CASQ1,ADCYAP1R1,C8orf33,AC009319.1,AVPR2,GHSR,C5orf47
155,CATSPERE,ADGRE1,C8orf34,AC009446.1,AXDND1,GID8,C5orf52
156,CCAR1,ADGRE2,C8orf37,AC009682.1,AZIN1,GLI4,C5orf56
157,CCAT1,ADGRE3,C8orf44,AC009686.1,B3GALNT2,GMEB2,C5orf58
158,CCAT2,ADGRE5,C8orf46,AC009686.2,B3GALT2,GML,C5orf63
159,CCDC181,ADGRL1,C8orf47,AC009812.1,B4GALT3,GMNC,C5orf67
160,CCDC185,ADIG,C8orf56,AC009812.2,B4GALT7,GMPS,C7orf25
161,CCDC190,ADM5,C8orf59,AC009812.3,BAALC,GNAS,C7orf26
162,CCDC26,ADNP,C8orf76,AC009812.4,BASP1,GNB3,C7orf31
163,CCNE2,ADRA1D,C8orf82,AC009879.1,BATF3,GNB4,C7orf33
164,CCSAP,ADRM1,C8orf87,AC009879.2,BAZ1A,GOLIM4,C7orf34
165,CCT3,AEBP1,CA1,AC009879.3,BBS9,GPAA1,C7orf43
166,CD160,AES,CA13,AC009879.4,BCAN,GPIHBP1,C7orf49
167,CD1A,AGAP2,CA14,AC009901.1,BCAP31,GPR149,C7orf50
168,CD1B,AGAP3,CA2,AC009901.2,BCAS1,GPR160,C7orf57
169,CD1C,AGBL3,CA3,AC009902.1,BCL9,GPR162,C7orf61
170,CD1D,AGFG2,CA8,AC009902.2,BCORL1,GPR171,C7orf62
171,CD1E,AGK,CACNA1E,AC009902.3,BECN2,GPR20,C7orf72
172,CD244,AGMO,CACNA1S,AC009908.1,BEX5,GPR87,C7orf73
173,CD247,AGR2,CACYBP,AC009930.1,BGLAP,GPT,C7orf77
174,CD34,AGR3,CADM3,AC010181.1,BGN,GRHL2,CACNA2D1
175,CD46,AHCY,CALB1,AC010181.2,BHLHE22,GRINA,CADPS2
176,CD48,AHCYL2,CAMK1G,AC010207.1,BHLHE23,GSDMC,CALCR
177,CD55,AHR,CAMSAP2,AC010210.1,BIRC7,GSDMD,CALD1
178,CD5L,AIMP2,CAPN2,AC010266.1,BLVRA,GSTM1,CALN1
179,CD84,AKAP8,CAPN8,AC010266.2,BLZF1,GYG1,CALU
180,CDC42BPA,AKAP8L,CAPN9,AC010338.1,BMP4,HAS2,CAMK2A
181,CDC42SE1,AKAP9,CASC7,AC010342.1,BMPER,HELZ2,CAMK2B
182,CDC73,AKR1B1,CASC8,AC010343.1,BNIPL,HES1,CAMK4
183,CDK18,AKR1B10,CASC9,AC010343.2,BOLA1,HHLA1,CAMLG
184,CDY1,AKR1B15,CASQ1,AC010343.3,BOP1,HLTF,CANX
185,CDY1B,AKR1D1,CBLN4,AC010368.1,BPNT1,HPS3,CAPZA2
186,CDY2A,AKT1S1,CCAT1,AC010374.1,BRAT1,HRASLS,CARD11
187,CDY2B,AKT2,CCDC166,AC010374.2,BRCC3,HRG,CARTPT
188,CELF3,AL034430.1,CCDC181,AC010385.1,BRD9,HRSP12,CASD1
189,CENPF,AL034430.2,CCDC19,AC010385.2,BRINP2,HSF1,CASP2
190,CENPL,AL035460.1,CCDC26,AC010385.3,BRINP3,HTR3C,CAST
191,CEP350,AL049634.2,CCDC77,AC010387.1,BRIX1,HTR3D,CATSPER3
192,CERS2,AL049650.1,CCNE2,AC010387.2,BRMS1L,HTR3E,CAV1
193,CFAP126,AL109827.1,CCSAP,AC010425.1,BROX,IFFO1,CAV2
194,CFAP45,AL121722.1,CCT3,AC010435.1,BRS3,IFT80,CBLL1
195,CFH,AL121753.1,CD160,AC010442.1,BTG2,IGF2BP2,CBX3
196,CFHR1,AL121758.1,CD1A,AC010442.2,BTK,IGSF10,CBY3
197,CFHR2,AL121845.2,CD1B,AC010442.3,BTNL3,IL12A,CCDC112
