,gene
761,NDUFAF6
762,NDUFB9
763,NECAB1
764,NIPAL2
765,NKAIN3
766,NKD2
767,NRBP2
768,NSMCE2
769,NUDCD1
770,OC90
771,ODF1
772,OPLAH
773,OSGIN2
774,OSR2
775,OTUD6B
776,OXR1
777,PABPC1
778,PAG1
779,PARP10
780,PCAT1
781,PDE7A
782,PDP1
783,PEX2
784,PHF20L1
785,PI15
786,PKHD1L1
787,PKIA
788,PLEC
789,PLEKHF2
790,PMP2
791,POLR2K
792,POP1
793,POU5F1B
794,PPP1R16A
795,PPP1R42
796,PRDM14
797,PREX2
798,PSCA
799,PSKH2
800,PTDSS1
801,PTK2
802,PTP4A3
803,PUF60
804,PVT1
805,RAD21
806,RAD54B
807,RALYL
808,RBM12B
809,RDH10
810,RECQL4
811,REXO1L10P
812,RGS22
813,RHPN1
814,RIDA
815,RIMS2
816,RIPK2
817,RMDN1
818,RNF139
819,RNF19A
820,RPL30
821,RPL7
822,RPL8
823,RRM2B
824,RRS1
825,RSPO2
826,RUNX1T1
827,SAMD12
828,SBSPON
829,SCRIB
830,SCRT1
831,SDC2
832,SGK3
833,SHARPIN
834,SLA
835,SLC10A5
836,SLC12A7
837,SLC25A32
838,SLC26A7
839,SLC30A8
840,SLC39A4
841,SLC45A4
842,SLC52A2
843,SLC6A18
844,SLC6A19
845,SLC7A13
846,SLCO5A1
847,SLURP1
848,SNORA72
849,SNTB1
850,SNX16
851,SNX31
852,SPAG1
853,SPATA16
854,SPATC1
855,SQLE
856,ST3GAL1
857,STAU2
858,STK3
859,STMN2
860,SULF1
861,SYBU
862,TAF2
863,TATDN1
864,TBC1D31
865,TCF24
866,TERF1
867,TERT
868,TG
869,THEM6
870,TIGD5
871,TMEM249
872,TMEM64
873,TMEM65
874,TMEM67
875,TMEM70
876,TMEM71
877,TMEM74
878,TMEM75
879,TNFRSF11B
880,TNFSF10
881,TONSL
882,TOP1MT
883,TP53INP1
884,TPD52
885,TRAM1
886,TRAPPC9
887,TRHR
888,TRIB1
889,TRIM55
890,TRIQK
891,TRMT12
892,TRPA1
893,TRPS1
894,TSNARE1
895,TSPYL5
896,TSTA3
897,TTPA
898,UBE2W
899,UBR5
900,UQCRB
901,UTP23
902,VCPIP1
903,VPS13B
904,VPS28
905,WASHC5
906,WDYHV1
907,WWP1
908,XKR9
909,YTHDF3
910,YWHAZ
911,ZBTB10
912,ZC2HC1A
913,ZC3H3
914,ZFAND1
915,ZFAT
916,ZFHX4
917,ZFP41
918,ZFPM2
919,ZHX1
920,ZHX2
921,ZNF16
922,ZNF250
923,ZNF251
924,ZNF34
925,ZNF517
926,ZNF572
927,ZNF623
928,ZNF696
929,ZNF7
930,ZNF704
931,ZNF706
932,ZNF707
933,ABCB10
934,ABL2
935,ACBD3
936,ACBD6
937,ACP6
938,ACTA1
939,ACTN2
940,ADAM15
941,ADAMTS4
942,ADAMTSL4
943,ADAR
944,ADCY10
945,ADIPOR1
946,ADORA1
947,ADSS
948,AGT
949,AHCTF1
950,AIDA
951,AIM2
952,ALDH9A1
953,ANGEL2
954,ANGPTL1
955,ANKRD34A
956,ANKRD35
957,ANKRD45
958,ANP32E
959,ANXA9
960,APCS
961,APH1A
962,APOA2
963,APOBEC4
964,AQP10
965,ARF1
966,ARHGAP30
967,ARHGEF11
968,ARHGEF2
969,ARID4B
970,ARL8A
971,ARNT
972,ARPC5
973,ARV1
974,ASCL5
975,ASH1L
976,ASPM
977,ASTN1
978,ATF3
979,ATF6
980,ATP1A2
981,ATP1A4
982,ATP1B1
983,ATP2B4
984,ATP5E
985,ATP8B2
986,AVPR1B
987,AXDND1
988,B3GALNT2
989,B3GALT2
990,B4GALT3
991,BATF3
992,BCAN
993,BCL9
994,BGLAP
995,BLZF1
996,BNIPL
997,BOLA1
998,BPNT1
999,BROX
1000,BTG2
1001,C1orf100
1002,C1orf105
1003,C1orf112
1004,C1orf115
1005,C1orf116
1006,C1orf131
1007,C1orf189
1008,C1orf198
1009,C1orf21
1010,C1orf226
1011,C1orf35
1012,C1orf43
1013,C1orf53
1014,C1orf54
1015,C1orf56
1016,C1orf61
1017,C1orf68
1018,C1orf74
1019,C2CD4D
1020,C4BPA
1021,C4BPB
1022,CA14
1023,CACNA1E
1024,CACNA1S
1025,CACYBP
1026,CADM3
1027,CAMK1G
1028,CAMSAP2
1029,CAPN2
1030,CAPN8
1031,CAPN9
1032,CASQ1
1033,CCDC181
1034,CCSAP
1035,CCT3
1036,CD160
1037,CD1A
1038,CD1B
1039,CD1C
1040,CD1D
1041,CD1E
1042,CD244
1043,CD247
1044,CD34
1045,CD46
1046,CD48
1047,CD55
1048,CD5L
1049,CD84
1050,CDC42BPA
1051,CDC42SE1
1052,CDC73
1053,CDK18
1054,CELF3
1055,CENPF
1056,CENPL
1057,CEP350
1058,CERS2
1059,CFH
1060,CFHR1
1061,CFHR2
1062,CFHR3
1063,CFHR4
1064,CFHR5
1065,CGN
1066,CHD1L
1067,CHI3L1
1068,CHIT1
1069,CHML
1070,CHRM3
1071,CHRNB2
1072,CHTOP
1073,CKS1B
1074,CNIH3
1075,CNIH4
1076,CNST
1077,CNTN2
1078,COA6
1079,COG2
1080,COLGALT2
1081,COPA
1082,COX20
1083,CR1
1084,CR1L
1085,CR2
1086,CRABP2
1087,CRB1
1088,CRCT1
1089,CREB3L4
1090,CREG1
1091,CRNN
1092,CRP
1093,CRTC2
1094,CSRP1
1095,CTSE
1096,CTSK
1097,CTSS
1098,CYB5R1
1099,DAP3
1100,DARS2
1101,DCAF6
1102,DCAF8
1103,DCST1
1104,DCST2
1105,DDR2
1106,DDX59
1107,DEDD
1108,DEGS1
1109,DENND1B
1110,DENND4B
1111,DESI2
1112,DHX9
1113,DISC1
1114,DISP1
1115,DNAH14
1116,DNM3
1117,DPM3
1118,DPT
1119,DSTYK
1120,DTL
1121,DUSP10
1122,DUSP12
1123,DUSP23
1124,DUSP27
1125,DYRK3
1126,ECM1
1127,EDARADD
1128,EDEM3
1129,EFCAB2
1130,EFNA1
1131,EFNA3
1132,EFNA4
1133,EGLN1
1134,EIF2D
1135,ELF3
1136,ELK4
1137,ENAH
1138,ENSA
1139,EPHX1
1140,EPRS
1141,ESRRG
1142,ETNK2
1143,ETV3
1144,ETV3L
1145,EXO1
1146,EXOC8
1147,F11R
1148,F13B
1149,F5
1150,FAM129A
1151,FAM163A
1152,FAM177B
1153,FAM20B
1154,FAM71A
1155,FAM72A
1156,FAM72C
1157,FAM72D
1158,FAM78B
1159,FAM84B
1160,FAM89A
1161,FASLG
1162,FBXO28
1163,FCAMR
1164,FCER1A
1165,FCER1G
1166,FCGR1A
1167,FCGR2A
1168,FCGR2B
1169,FCGR3A
1170,FCGR3B
1171,FCRL1
1172,FCRL2
1173,FCRL3
1174,FCRL4
1175,FCRL5
1176,FCRL6
1177,FCRLA
1178,FCRLB
1179,FDPS
1180,FH
1181,FLAD1
1182,FLG
1183,FLG2
1184,FLVCR1
1185,FMN2
1186,FMO1
1187,FMO2
1188,FMO3
1189,FMO4
1190,FMO5
1191,FMOD
1192,G0S2
1193,GABPB2
1194,GALNT2
1195,GCSAML
1196,GGPS1
1197,GJA5
1198,GJA8
1199,GJC2
1200,GLRX2
1201,GLUL
1202,GNG4
1203,GNPAT
1204,GOLPH3L
1205,GOLT1A
1206,GON4L
1207,GORAB
1208,GPA33
1209,GPATCH2
1210,GPATCH4
1211,GPR137B
1212,GPR161
1213,GPR25
1214,GPR37L1
1215,GPR52
1216,GPR89A
1217,GPR89B
1218,GREM2
1219,GUK1
1220,H3F3A
1221,HAPLN2
1222,HAX1
1223,HDGF
1224,HEATR1
1225,HHAT
1226,HHIPL2
1227,HIST2H2AA3
1228,HIST2H2AA4
1229,HIST2H2AB
1230,HIST2H2AC
1231,HIST2H2BE
1232,HIST2H2BF
1233,HIST2H3A
1234,HIST2H3C
1235,HIST2H3D
1236,HIST2H4A
1237,HIST2H4B
1238,HIST3H2A
1239,HIST3H2BB
1240,HIST3H3
1241,HLX
1242,HMCN1
1243,HNRNPU
1244,HORMAD1
1245,HRNR
1246,HSD11B1
1247,HSD17B7
1248,HSPA6
1249,IARS2
1250,IBA57
1251,IER5
1252,IFI16
1253,IGFN1
1254,IGSF8
1255,IGSF9
1256,IKBKE
1257,IL10
1258,IL19
1259,IL20
1260,IL24
1261,IL6R
1262,ILDR2
1263,ILF2
1264,INSRR
1265,INTS7
1266,IPO9
1267,IQGAP3
1268,IRF2BP2
1269,IRF6
1270,ISG20L2
1271,ITGA10
1272,ITLN1
1273,ITLN2
1274,ITPKB
1275,IVL
1276,IVNS1ABP
1277,JMJD4
1278,JTB
1279,KCNH1
1280,KCNJ10
1281,KCNJ9
1282,KCNK1
1283,KCNK2
1284,KCNN3
1285,KCNT2
1286,KCTD3
1287,KDM5B
1288,KIAA0040
1289,KIAA1614
1290,KIF14
1291,KIF21B
1292,KIFAP3
1293,KISS1
1294,KLHDC8A
1295,KLHDC9
1296,KLHL12
1297,KLHL20
1298,KMO
1299,KPRP
1300,KRTCAP2
1301,LAD1
1302,LAMB3
1303,LAMC1
1304,LAMC2
1305,LAMTOR2
1306,LAX1
1307,LBR
1308,LCE1A
1309,LCE1B
1310,LCE1C
1311,LCE1D
1312,LCE1E
1313,LCE1F
1314,LCE2A
1315,LCE2B
1316,LCE2C
1317,LCE2D
1318,LCE3A
1319,LCE3B
1320,LCE3C
1321,LCE3D
1322,LCE3E
1323,LCE4A
1324,LCE5A
1325,LCE6A
1326,LEFTY1
1327,LEFTY2
1328,LELP1
1329,LEMD1
1330,LENEP
1331,LGALS8
1332,LGR6
1333,LHX4
1334,LHX9
1335,LIN9
1336,LINGO4
1337,LIX1L
1338,LMNA
1339,LMOD1
1340,LMX1A
1341,LOR
1342,LPGAT1
1343,LRRC52
1344,LRRC71
1345,LRRN2
1346,LY9
1347,LYPD8
1348,LYPLAL1
1349,LYSMD1
1350,LYST
1351,MAEL
1352,MAP10
1353,MAP1LC3C
1354,MAPKAPK2
1355,MARC1
1356,MARC2
1357,MARK1
1358,MCL1
1359,MEF2D
1360,METTL11B
1361,METTL13
1362,METTL18
1363,MEX3A
1364,MGST3
1365,MIA3
1366,MIXL1
1367,MLLT11
1368,MNDA
1369,MPC2
1370,MPZ
1371,MPZL1
1372,MR1
1373,MROH9
1374,MRPL24
1375,MRPL55
1376,MRPL9
1377,MRPS14
1378,MRPS21
1379,MSTO1
1380,MT1HL1
1381,MTMR11
1382,MTR
1383,MUC1
1384,MYBPH
1385,MYOC
1386,MYOG
1387,NAV1
1388,NBPF10
1389,NBPF11
1390,NBPF12
1391,NBPF14
1392,NBPF15
1393,NBPF20
